"RSG_Group","Texture_Group","MAT","MAP","mean_lp","lcl_lp","ucl_lp","mean_sigma"
"R2","T1",23,2900,-4.13072632421579,-4.16932353772144,-4.09266002804712,-0.868740218811371
"R2","T1",23,3200,-4.01236102382484,-4.05769998599578,-3.96773451216546,-0.868740218811371
"R2","T1",28,680,-5.1191574639172,-5.14837716698869,-5.08999209787899,-0.868740218811371
"R2","T1",28,1500,-4.79562564284859,-4.81716547621848,-4.77415526073921,-0.868740218811371
"R2","T1",28,2900,-4.24325424102413,-4.28299952184034,-4.20346114837521,-0.868740218811371
"R2","T1",28,3200,-4.12488894063318,-4.17088141420435,-4.07928438319195,-0.868740218811371
"R2","T1",32,680,-5.20917979736388,-5.24405554597113,-5.17333096040977,-0.868740218811371
"R2","T1",32,1500,-4.88564797629526,-4.91448970123876,-4.85575438760504,-0.868740218811371
"R2","T1",32,2900,-4.3332765744708,-4.37772636050029,-4.28868658393746,-0.868740218811371
"R2","T1",32,3200,-4.21491127407985,-4.26481594575127,-4.16451910799888,-0.868740218811371
"R2","T2",16,680,-4.53506185202929,-4.56781176187698,-4.5018678418746,-0.868740218811371
"R2","T2",16,1500,-4.21153003096068,-4.23991675210445,-4.18446545725291,-0.868740218811371
"R2","T2",16,2900,-3.65915862913622,-3.70425125333357,-3.61487153048306,-0.868740218811371
"R2","T2",16,3200,-3.54079332874527,-3.59218938671507,-3.49089685693208,-0.868740218811371
"R2","T2",23,680,-4.69260093556097,-4.71490215651793,-4.67084189848811,-0.868740218811371
"R2","T2",23,1500,-4.36906911449236,-4.38201725596984,-4.35635073511721,-0.868740218811371
"R2","T2",23,2900,-3.8166977126679,-3.85460505694095,-3.77957118029172,-0.868740218811371
"R2","T2",23,3200,-3.69833241227694,-3.74306001027269,-3.65415601449353,-0.868740218811371
"R2","T2",28,680,-4.80512885236931,-4.82959834589891,-4.78107093101043,-0.868740218811371
"R2","T2",28,1500,-4.4815970313007,-4.49821084763845,-4.46573999190211,-0.868740218811371
"R2","T2",28,2900,-3.92922562947624,-3.96811623756788,-3.88997039657005,-0.868740218811371
"R2","T2",28,3200,-3.81086032908528,-3.85653233241881,-3.76433790369583,-0.868740218811371
"R2","T2",32,680,-4.89515118581598,-4.92732469587288,-4.86364157282707,-0.868740218811371
"R2","T2",32,1500,-4.57161936474737,-4.59762713977319,-4.54597821703006,-0.868740218811371
"R2","T2",32,2900,-4.01924796292291,-4.06375939939909,-3.97542452212618,-0.868740218811371
"R2","T2",32,3200,-3.90088266253195,-3.95098997287964,-3.8508033586941,-0.868740218811371
"R2","T3",16,680,-4.37539800872086,-4.41004000392651,-4.33962102722768,-0.868740218811371
"R2","T3",16,1500,-4.05186618765224,-4.08154706708397,-4.02212362602446,-0.868740218811371
"R2","T3",16,2900,-3.49949478582778,-3.54531731087437,-3.45314282492704,-0.868740218811371
"R2","T3",16,3200,-3.38112948543683,-3.43243858680153,-3.32896065806919,-0.868740218811371
"R2","T3",23,680,-4.53293709225253,-4.55922749066843,-4.50672920841782,-0.868740218811371
"R2","T3",23,1500,-4.20940527118392,-4.22795167084066,-4.19089242755553,-0.868740218811371
"R2","T3",23,2900,-3.65703386935946,-3.69608972862976,-3.61767470022586,-0.868740218811371
"R2","T3",23,3200,-3.5386685689685,-3.58389384691107,-3.49266863028115,-0.868740218811371
"R2","T3",28,680,-4.64546500906087,-4.67382638120108,-4.61634119740336,-0.868740218811371
"R2","T3",28,1500,-4.32193318799226,-4.34385866778668,-4.29997233908677,-0.868740218811371
"R2","T3",28,2900,-3.7695617861678,-3.80989889922603,-3.72779487041049,-0.868740218811371
"R2","T3",28,3200,-3.65119648577684,-3.69778053893254,-3.60284632670751,-0.868740218811371
"R2","T3",32,680,-4.73548734250754,-4.77117385585602,-4.69931682896778,-0.868740218811371
"R2","T3",32,1500,-4.41195552143893,-4.44207260776444,-4.38096832473815,-0.868740218811371
"R2","T3",32,2900,-3.85958411961447,-3.90564143007899,-3.81224377503346,-0.868740218811371
"R2","T3",32,3200,-3.74121881922352,-3.79253013993621,-3.68838915811209,-0.868740218811371
"R2","T4",16,680,-4.25114400608331,-4.2826799963004,-4.21936124707007,-0.868740218811371
"R2","T4",16,1500,-3.92761218501469,-3.95175416072155,-3.90383946041217,-0.868740218811371
"R2","T4",16,2900,-3.37524078319023,-3.41510044219885,-3.3350313054023,-0.868740218811371
"R2","T4",16,3200,-3.25687548279928,-3.30315766222175,-3.21046934799572,-0.868740218811371
"R2","T4",23,680,-4.40868308961498,-4.43204799377824,-4.38562559386256,-0.868740218811371
"R2","T4",23,1500,-4.08515126854637,-4.0947004422164,-4.07567638255819,-0.868740218811371
"R2","T4",23,2900,-3.53277986672191,-3.56603639924306,-3.49920675826723,-0.868740218811371
"R2","T4",23,3200,-3.41441456633095,-3.45444083644512,-3.37371364627991,-0.868740218811371
"R2","T4",28,680,-4.52121100642332,-4.54805391499628,-4.49389814512703,-0.868740218811371
"R2","T4",28,1500,-4.19767918535471,-4.21461170752437,-4.1806747428561,-0.868740218811371
"R2","T4",28,2900,-3.64530778353025,-3.68195205383939,-3.60857557541587,-0.868740218811371
"R2","T4",28,3200,-3.52694248313929,-3.57010776952754,-3.48344662021876,-0.868740218811371
"R2","T4",32,680,-4.61123333986999,-4.64585633765947,-4.57599566378478,-0.868740218811371
"R2","T4",32,1500,-4.28770151880138,-4.31517673143522,-4.26028965594113,-0.868740218811371
"R2","T4",32,2900,-3.73533011697692,-3.77806955595244,-3.69212205513606,-0.868740218811371
"R2","T4",32,3200,-3.61696481658597,-3.665419224894,-3.56840753577495,-0.868740218811371
"R3","T1",16,680,-4.86196553208004,-5.09362614009427,-4.63393506322208,-0.868740218811371
"R3","T1",16,1500,-4.53843371101143,-4.77133571872366,-4.31010557483361,-0.868740218811371
"R3","T1",16,2900,-3.98606230918697,-4.22004845794587,-3.75625194158924,-0.868740218811371
"R3","T1",16,3200,-3.86769700879601,-4.10402807752796,-3.63638597751839,-0.868740218811371
"R3","T1",23,680,-5.01950461561172,-5.2503388087016,-4.79055097228313,-0.868740218811371
"R3","T1",23,1500,-4.6959727945431,-4.92332717903873,-4.46769784749523,-0.868740218811371
"R3","T1",23,2900,-4.14360139271864,-4.37489730093847,-3.9152197221117,-0.868740218811371
"R3","T1",23,3200,-4.02523609232769,-4.25788864187572,-3.79480252902476,-0.868740218811371
"R3","T1",28,680,-5.13203253242006,-5.36030063090058,-4.90281664050079,-0.868740218811371
"R3","T1",28,1500,-4.80850071135144,-5.03605884502827,-4.57860133543393,-0.868740218811371
"R3","T1",28,2900,-4.25612930952698,-4.48856152667012,-4.02681595479438,-0.868740218811371
"R3","T1",28,3200,-4.13776400913603,-4.37102848185596,-3.90742791303513,-0.868740218811371
"R3","T1",32,680,-5.22205486586673,-5.45161725201503,-4.99230137730258,-0.868740218811371
"R3","T1",32,1500,-4.89852304479812,-5.12532371284809,-4.66914102368494,-0.868740218811371
"R3","T1",32,2900,-4.34615164297366,-4.578204738908,-4.11264722795578,-0.868740218811371
"R3","T1",32,3200,-4.2277863425827,-4.46159353426345,-3.99359938017609,-0.868740218811371
"R3","T2",16,680,-4.46771180619274,-4.54343383668909,-4.39407374165733,-0.868740218811371
"R3","T2",16,1500,-4.14417998512413,-4.21543401130756,-4.07328878880543,-0.868740218811371
"R3","T2",16,2900,-3.59180858329967,-3.66981011118891,-3.51272181642247,-0.868740218811371
"R3","T2",16,3200,-3.47344328290871,-3.55485879251074,-3.39110995762749,-0.868740218811371
"R3","T2",23,680,-4.62525088972441,-4.69834368778231,-4.55258222862437,-0.868740218811371
"R3","T2",23,1500,-4.3017190686558,-4.37232719223039,-4.23205689147924,-0.868740218811371
"R3","T2",23,2900,-3.74934766683134,-3.82681854607642,-3.67079172771226,-0.868740218811371
"R3","T2",23,3200,-3.63098236644039,-3.71151181225321,-3.54912440366536,-0.868740218811371
"R3","T2",28,680,-4.73777880653275,-4.81500753478474,-4.66242349730851,-0.868740218811371
"R3","T2",28,1500,-4.41424698546414,-4.48861688502334,-4.34124812621145,-0.868740218811371
"R3","T2",28,2900,-3.86187558363968,-3.94292569760203,-3.78096068807602,-0.868740218811371
"R3","T2",28,3200,-3.74351028324873,-3.8275818918417,-3.65880277609688,-0.868740218811371
"R3","T2",32,680,-4.82780113997943,-4.90934813814507,-4.74830204502998,-0.868740218811371
"R3","T2",32,1500,-4.50426931891081,-4.58201982017255,-4.42701231193348,-0.868740218811371
"R3","T2",32,2900,-3.95189791708636,-4.03658394842205,-3.86644205951035,-0.868740218811371
"R3","T2",32,3200,-3.8335326166954,-3.92187164737896,-3.74512838992295,-0.868740218811371
"R3","T3",16,680,-4.31359880192584,-4.41510226133283,-4.2135824770386,-0.868740218811371
"R3","T3",16,1500,-3.99006698085722,-4.08981003147831,-3.89087590251885,-0.868740218811371
"R3","T3",16,2900,-3.43769557903277,-3.54123592075348,-3.33423343674502,-0.868740218811371
"R3","T3",16,3200,-3.31933027864181,-3.4253504836693,-3.21279371730788,-0.868740218811371
"R3","T3",23,680,-4.47113788545751,-4.57353969845727,-4.37187194994853,-0.868740218811371
"R3","T3",23,1500,-4.1476060643889,-4.2460624076186,-4.04948996967516,-0.868740218811371
"R3","T3",23,2900,-3.59523466256444,-3.69840123480544,-3.49203827184885,-0.868740218811371
"R3","T3",23,3200,-3.47686936217349,-3.58318780361243,-3.37052058186122,-0.868740218811371
"R3","T3",28,680,-4.58366580226585,-4.68780240044004,-4.48183964858412,-0.868740218811371
"R3","T3",28,1500,-4.26013398119724,-4.36146617651398,-4.15968048983472,-0.868740218811371
"R3","T3",28,2900,-3.70776257937278,-3.8142202421696,-3.60213494527485,-0.868740218811371
"R3","T3",28,3200,-3.58939727898183,-3.69802495071341,-3.48104013077839,-0.868740218811371
"R3","T3",32,680,-4.67368813571252,-4.78076195956409,-4.56747966394514,-0.868740218811371
"R3","T3",32,1500,-4.35015631464391,-4.45474028910373,-4.24545972950083,-0.868740218811371
