"Texture_Cluster","Order_Cluster","MAT","MAP","mean_lp","lcl_lp","ucl_lp","mean_sigma"
"T3","Or3",10,400,-3.50338394502772,-3.52854187419713,-3.47861651778145,-0.827544773297198
"T3","Or3",10,1100,-3.47697875968838,-3.4946116646151,-3.45955795421694,-0.827544773297198
"T3","Or3",10,1800,-3.45057357434904,-3.46863918974887,-3.43286874774282,-0.827544773297198
"T3","Or3",18,400,-3.64916515436204,-3.66811986348905,-3.63044541751949,-0.827544773297198
"T3","Or3",18,1100,-3.62275996902269,-3.63258872892648,-3.61283483694582,-0.827544773297198
"T3","Or3",18,1800,-3.59635478368335,-3.60916627396787,-3.58338981172437,-0.827544773297198
"T3","Or3",29,400,-3.84961431719671,-3.87488174477119,-3.82366276292736,-0.827544773297198
"T3","Or3",29,1100,-3.82320913185737,-3.84488482202827,-3.80178702561934,-0.827544773297198
"T3","Or3",29,1800,-3.79680394651803,-3.82134790036478,-3.77208422685338,-0.827544773297198
"T3","Or4",10,400,-3.69773928827696,-3.7400515544816,-3.65656810766235,-0.827544773297198
"T3","Or4",10,1100,-3.67133410293761,-3.7099154373117,-3.63381334282543,-0.827544773297198
"T3","Or4",10,1800,-3.64492891759827,-3.68399532265746,-3.6061360435905,-0.827544773297198
"T3","Or4",18,400,-3.84352049761127,-3.88200187812246,-3.80511756819463,-0.827544773297198
"T3","Or4",18,1100,-3.81711531227192,-3.85272736860864,-3.7814809632551,-0.827544773297198
"T3","Or4",18,1800,-3.79071012693258,-3.82764484292412,-3.75244790676458,-0.827544773297198
"T3","Or4",29,400,-4.04396966044594,-4.0868811840938,-4.00072243935587,-0.827544773297198
"T3","Or4",29,1100,-4.0175644751066,-4.05825618084604,-3.97556604141613,-0.827544773297198
"T3","Or4",29,1800,-3.99115928976726,-4.03431536897663,-3.94743563141072,-0.827544773297198
"T3","Or5",10,400,-3.78882538243392,-4.62029976570091,-3.1188960777997,-0.827544773297198
"T3","Or5",10,1100,-3.76242019709458,-4.59680559499306,-3.09473883673617,-0.827544773297198
"T3","Or5",10,1800,-3.73601501175523,-4.57239606790778,-3.06968883451785,-0.827544773297198
"T3","Or5",18,400,-3.93460659176823,-4.77024808845777,-3.26820359420479,-0.827544773297198
"T3","Or5",18,1100,-3.90820140642889,-4.74786256459491,-3.24200018416271,-0.827544773297198
"T3","Or5",18,1800,-3.88179622108954,-4.72416744061178,-3.21553849907386,-0.827544773297198
"T3","Or5",29,400,-4.13505575460291,-4.97321982903252,-3.47266734836986,-0.827544773297198
"T3","Or5",29,1100,-4.10865056926356,-4.94955579664028,-3.44303522682264,-0.827544773297198
"T3","Or5",29,1800,-4.08224538392422,-4.92488771515824,-3.41734755703839,-0.827544773297198
